"title","summary","production_code","original_air_date","season","number_in_season","number_in_series","n","ngram_n","tf","idf","tf_idf"
"Simpsons Roasting on an Open Fire","ho ho ho ho","7G08","1989-12-17",1,1,1,36,4,0.0128250802,4.9487598904,0.0634682423
"Bart the Genius","kwyjibo","7G02","1990-01-14",1,2,2,4,1,0.0014503263,6.3350542515,0.0091878959
"Homer's Odyssey","nuclear energy","7G03","1990-01-21",1,3,3,5,2,0.0021691974,4.9487598904,0.0107348371
"There's No Disgrace Like Home","arrrgh","7G04","1990-01-28",1,4,4,14,1,0.0051001821,4.9487598904,0.0252395769
"Bart the General","sound off","7G05","1990-02-04",1,5,5,4,2,0.001578532,6.3350542515,0.0100000856
"Moaning Lisa","he belongs","7G06","1990-02-11",1,6,6,4,2,0.0016799664,5.6419070709,0.0094782143
"The Call of the Simpsons","bigfoot","7G09","1990-02-18",1,7,7,7,1,0.0031028369,4.9487598904,0.0153551947
"The Telltale Head","jebediah","7G07","1990-02-25",1,8,8,7,1,0.002686109,4.5432947823,0.0122037849
"Life on the Fast Lane","smooth yes","7G11","1990-03-18",1,9,9,4,2,0.0016155089,6.3350542515,0.0102343364
"Homer's Night Out","spy camera","7G10","1990-03-25",1,10,10,11,2,0.0043929712,6.3350542515,0.0278297112
"The Crepes of Wrath","adil","7G13","1990-04-15",1,11,11,15,1,0.0055493896,6.3350542515,0.035155684
"Krusty Gets Busted","krusty","7G12","1990-04-29",1,12,12,40,1,0.0142348754,1.3244189574,0.0188529389
"Some Enchanted Evening","ba ba ba ba ba","7G01","1990-05-13",1,13,13,23,5,0.0099266293,5.2364419628,0.051980218
"Bart Gets an ""F""","blah blah blah blah","7F03","1990-10-11",2,1,14,28,4,0.0104555639,4.1378296742,0.0432633424
"Simpson and Delilah","dimoxinil","7F02","1990-10-18",2,2,15,11,1,0.0042735043,6.3350542515,0.0270728814
"Treehouse of Horror","nevermore","7F04","1990-10-25",2,3,16,10,1,0.0040866367,6.3350542515,0.0258890652
"Two Cars in Every Garage and Three Eyes on Every Fish","mary bailey","7F01","1990-11-01",2,4,17,9,2,0.0032727273,6.3350542515,0.0207329048
"Dancin' Homer","capital city","7F05","1990-11-08",2,5,18,18,2,0.0065741417,3.6270040504,0.0238444386
"Dead Putting Society","six plus six","7F08","1990-11-15",2,6,19,5,3,0.0018477458,6.3350542515,0.0117055696
"Bart vs. Thanksgiving","im sorry im sorry im","7F07","1990-11-22",2,7,20,8,5,0.0035041612,5.6419070709,0.0197701518
"Bart the Daredevil","gorge","7F06","1990-12-06",2,8,21,12,1,0.0055684455,4.1378296742,0.0230412789
"Itchy & Scratchy & Marge","cartoons","7F09","1990-12-20",2,9,22,16,1,0.0065600656,2.83854669,0.0186210525
"Bart Gets Hit by a Car","hutz","7F10","1991-01-10",2,10,23,7,1,0.0024734982,3.5018409074,0.0086617973
"One Fish, Two Fish, Blowfish, Blue Fish","begat","7F12","1991-01-24",2,11,24,8,1,0.0028715004,4.9487598904,0.0142103658
"The Way We Was","the prom","7F11","1991-01-31",2,12,25,14,2,0.0048831531,3.8501476017,0.0188008603
"Homer vs. Lisa and the 8th Commandment","cable","7F13","1991-02-07",2,13,26,26,1,0.0089779006,3.0392173855,0.0272857914
"Principal Charming","patty","7F15","1991-02-14",2,14,27,15,1,0.005997601,2.4032286188,0.0144136063
"Oh Brother, Where Art Thou?","herb","7F16","1991-02-21",2,15,28,18,1,0.0060544904,4.3891441024,0.0265740309
"Bart's Dog Gets an ""F""","quilt","7F14","1991-03-07",2,16,29,6,1,0.0026396832,4.9487598904,0.0130631585
"Old Money","bea","7F17","1991-03-28",2,17,30,11,1,0.0040620384,5.6419070709,0.0229176432
"Brush with Greatness","splashmore","7F18","1991-04-11",2,18,31,6,1,0.0023112481,6.3350542515,0.0146418819
"Lisa's Substitute","mr bergstrom","7F19","1991-04-25",2,19,32,18,2,0.0059171598,5.6419070709,0.0333840655
"The War of the Simpsons","general sherman","7F20","1991-05-02",2,20,33,6,2,0.0020304569,6.3350542515,0.0128630543
"Three Men and a Comic Book","please dad please dad","7F21","1991-05-09",2,21,34,10,4,0.0035752592,5.6419070709,0.0201712802
"Blood Feud","heave ho heave ho","7F22","1991-07-11",2,22,35,4,4,0.0014109347,6.3350542515,0.0089383482
"Stark Raving Dad","michael jackson","7F24","1991-09-19",3,1,36,22,2,0.00763094,4.3891441024,0.0334932953
"Mr. Lisa Goes to Washington","shoe goes","8F01","1991-09-26",3,2,37,6,2,0.0023529412,6.3350542515,0.01490601
"When Flanders Failed","touch of death","7F23","1991-10-03",3,3,38,9,3,0.0033027523,6.3350542515,0.020923115
"Bart the Murderer","skinner","8F03","1991-10-10",3,4,39,14,1,0.0055799123,1.5310332068,0.008543031
"Homer Defined","meltdown","8F04","1991-10-17",3,5,40,12,1,0.0042674253,4.5432947823,0.0193881712
"Like Father, Like Clown","rabbi","8F05","1991-10-24",3,6,41,22,1,0.0079193665,4.1378296742,0.0327689895
"Treehouse of Horror II","happy thoughts","8F02","1991-10-31",3,7,42,8,2,0.0033627575,6.3350542515,0.021303251
"Lisa's Pony","pony","8F06","1991-11-07",3,8,43,20,1,0.0078308536,3.0028497413,0.0235148766
"Saturdays of Thunder","nyah","8F07","1991-11-14",3,9,44,28,1,0.0106463878,4.9487598904,0.0526864171
"Flaming Moe's","flaming","8F08","1991-11-21",3,10,45,25,1,0.009527439,3.6270040504,0.0345560599
"Burns Verkaufen der Kraftwerk","na na","8F09","1991-12-05",3,11,46,14,2,0.0053435115,4.9487598904,0.0264437551
"I Married Marge","kool moe dee","8F10","1991-12-26",3,12,47,4,3,0.0016240357,6.3350542515,0.0102883544
"Radio Bart","down the well","8F11","1992-01-09",3,13,48,8,3,0.0035826243,6.3350542515,0.0226961191
"Lisa the Greek","cincinnati","8F12","1992-01-23",3,14,49,8,1,0.0025881592,4.7256163391,0.0122306473
"Homer Alone","relaxo","8F14","1992-02-06",3,15,50,8,1,0.0037019898,6.3350542515,0.0234523063
"Bart the Lover","zinc","8F16","1992-02-13",3,16,51,10,1,0.0037650602,5.2364419628,0.0197155194
"Homer at the Bat","bock","8F13","1992-02-20",3,17,52,10,1,0.0034270048,6.3350542515,0.0217102613
"Separate Vocations","calm blue ocean","8F15","1992-02-27",3,18,53,4,3,0.0017636684,6.3350542515,0.0111729352
"Dog of Death","lottery","8F17","1992-03-12",3,19,54,22,1,0.0093696763,3.5624655293,0.0333791489
"Colonel Homer","lurleen","8F19","1992-03-26",3,20,55,19,1,0.0078157137,5.2364419628,0.0409265312
"Black Widower","selma","8F20","1992-04-09",3,21,56,31,1,0.0120061967,2.3838105329,0.0286204983
"The Otto Show","bus driver","8F21","1992-04-23",3,22,57,12,2,0.0048999592,4.2556127098,0.0208523285
"Bart's Friend Falls in Love","samantha","8F22","1992-05-07",3,23,58,10,1,0.0041169205,6.3350542515,0.026080915
"Brother, Can You Spare Two Dimes?","herb","8F23","1992-08-27",3,24,59,16,1,0.0058629535,4.3891441024,0.0257333476
"Kamp Krusty","kamp","8F24","1992-09-24",4,1,60,13,1,0.0054782975,6.3350542515,0.034705312
"A Streetcar Named Marge","blanche","8F18","1992-10-01",4,2,61,12,1,0.0057142857,5.2364419628,0.0299225255
"Homer the Heretic","la la la","9F01","1992-10-08",4,3,62,9,3,0.0044598612,3.0769577135,0.0137228045
"Lisa the Beauty Queen","little miss springfield","9F02","1992-10-15",4,4,63,15,3,0.0069670228,6.3350542515,0.0441364671
"Treehouse of Horror III","homer homer homer homer","9F04","1992-10-29",4,5,64,6,4,0.0039241334,5.6419070709,0.0221395961
